S. No.,STATES,year,Small Hydro Power,Wind Power,Bio Power Total,Solar Power Total
1,Andhra Pradesh,2017-2018,162.11,3966.95,523.59,2257.93
2,Arunachal Pradesh,2017-2018,104.605,,0,7.39
3,Assam,2017-2018,34.11,,0,19.28
4,Bihar,2017-2018,70.7,,122.2,153.28
5,Chhatisgarh,2017-2018,76,,230.83,358.59
6,Goa,2017-2018,0.05,,0,1.03
7,Gujarat,2017-2018,28.6,5613.42,81.24,1626.19
8,Haryana,2017-2018,73.5,,210.09,226.9
9,Himachal Pradesh,2017-2018,853.11,,8.2,7.97
10,Jammu and Kashmir,2017-2018,179.03,,0,22.19
11,Jharkhand,2017-2018,4.05,,4.3,38.59
12,Karnataka,2017-2018,1230.73,4608.4,1779.81,4965.25
13,Kerala,2017-2018,219.02,52.5,0.95,128.09
14,Madhya Pradesh,2017-2018,86.16,2519.89,121.48,1322.6
15,Maharashtra,2017-2018,373.175,4783.93,2223.7,1251.4
16,Manipur,2017-2018,5.45,,0,4.83
17,Meghalaya,2017-2018,31.03,,13.8,2.02
18,Mizoram,2017-2018,36.47,,0,3.69
19,Nagaland,2017-2018,30.67,,0,2.84
20,Odisha,2017-2018,64.625,,59.22,98.84
21,Punjab,2017-2018,173.55,,333.8,913.33
22,Rajasthan,2017-2018,23.85,4297.72,125.13,2431.66
23,Sikkim,2017-2018,52.11,,0,1.87
24,Tamil Nadu,2017-2018,123.05,8197.09,977.52,1950.86
25,Telangana,2017-2018,90.87,100.8,181.01,3299.2
26,Tripura,2017-2018,16.01,,0,8.52
27,Uttar Pradesh,2017-2018,25.1,,2165.33,755.22
28,Uttarakhand,2017-2018,214.32,,139.13,270.03
29,West Bengal,2017-2018,98.5,,321.09,49.87
30,Andaman & Nicobar,2017-2018,5.25,,0,6.8
31,Chandigarh,2017-2018,,,0,26.01
32,Dadar & Nagar Haveli,2017-2018,,,0,5.46
33,Daman & Diu,2017-2018,,,0,10.61
34,Delhi,2017-2018,,,52,71.03
35,Lakshwadeep,2017-2018,,,0,3.14
36,Pondicherry,2017-2018,,,0,0.34
37,Others,2017-2018,,4.3,0,43.36
